,datetime,day of week,total,place,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,milk tea,gateau chocolat,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade,tiramisu,merinque cookies
67,2019-07-24 13:24,Wed,18800.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
68,2019-07-24 14:25,Wed,25400.0,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,
69,2019-07-24 14:28,Wed,26300.0,,1.0,2.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,
70,2019-07-24 15:36,Wed,16100.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,
71,2019-07-24 15:40,Wed,16100.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,
72,2019-07-24 16:02,Wed,16400.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
73,2019-07-24 17:20,Wed,15000.0,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,,,,
74,2019-07-25 11:49,Thur,18600.0,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,
75,2019-07-25 11:57,Thur,26800.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,
76,2019-07-25 12:01,Thur,35000.0,,,,,,,,,,,4.0,,,,,,,,,6.0,,,,
77,2019-07-25 12:35,Thur,38000.0,,5.0,,,,1.0,,,,1.0,,,,,,,,,,2.0,,,,
78,2019-07-25 13:01,Thur,23100.0,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,
79,2019-07-25 13:05,Thur,17300.0,,,,,,,,,,2.0,,,,,1.0,,,,,,,1.0,,
80,2019-07-25 13:40,Thur,19600.0,,2.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,
81,2019-07-25 13:42,Thur,15300.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,
82,2019-07-25 14:12,Thur,16100.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,
83,2019-07-25 15:09,Thur,14300.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
84,2019-07-25 15:57,Thur,15100.0,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,
85,2019-07-25 16:03,Thur,20000.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,
86,2019-07-26 11:26,Fri,25300.0,,1.0,1.0,,,3.0,,,,,,,,,,,,,1.0,,,,,
87,2019-07-26 11:23,Fri,73200.0,,4.0,3.0,,,6.0,,1.0,,2.0,,,,,,1.0,,,1.0,,,,,
88,2019-07-26 11:31,Fri,22800.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,
89,2019-07-26 11:36,Fri,1293000.0,,6.0,5.0,,,5.0,,,,5.0,5.0,,,,,5.0,,,,,,,,
90,2019-07-26 11:37,Fri,15000.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,
91,2019-07-26 11:55,Fri,20800.0,,1.0,,,,,,1.0,,,1.0,,,,,,,,,2.0,,,,
92,2019-07-26 13:19,Fri,25900.0,,3.0,,,,,,1.0,,,,,,,,,,,,2.0,,,,
93,2019-07-26 13:24,Fri,28100.0,,2.0,,,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,
94,2019-07-26 14:05,Fri,15800.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,
95,2019-07-26 14:24,Fri,35000.0,,5.0,,,,,,,,,,,,,,,,,2.0,,,,,
96,2019-07-26 14:52,Fri,22100.0,,1.0,,,,,,,,,1.0,,,,1.0,,,1.0,,1.0,,,,
97,2019-07-26 14:56,Fri,16100.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,
98,2019-07-27 11:29,Sat,18800.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,
99,2019-07-27 11:57,Sat,21800.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,
100,2019-07-27 12:00,Sat,18600.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,
101,2019-07-27 12:07,Sat,33200.0,,2.0,2.0,,,,,,,2.0,,,,,2.0,,,,,,,,,
102,2019-07-27 12:20,Sat,22800.0,,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,1.0,
103,2019-07-27 12:26,Sat,17000.0,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,
104,2019-07-27 12:43,Sat,16400.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,
105,2019-07-27 13:50,Sat,14800.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,
106,2019-07-27 14:05,Sat,32600.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,
107,2019-07-28 11:17,Sun,17300.0,,1.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,
108,2019-07-28 12:10,Sun,14800.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,
109,2019-07-28 12:21,Sun,14800.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,
110,2019-07-28 12:47,Sun,14300.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,
111,2019-07-28 12:48,Sun,14800.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,
112,2019-07-28 13:13,Sun,25600.0,,2.0,1.0,,,2.0,,,,,,,,,,,,,,1.0,,,,
113,2019-07-28 13:14,Sun,19500.0,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,
114,2019-07-29 11:08,Mon,24800.0,,1.0,,,,3.0,,,,,,,,,,,,,,3.0,,,,
115,2019-07-29 11:12,Mon,24100.0,,2.0,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,
116,2019-07-28 11:14,Mon,15800.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,
117,2019-07-29 11:39,Mon,14800.0,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,
118,2019-07-29 12:02,Mon,14800.0,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,
119,2019-07-29 12:15,Mon,18300.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,
120,2019-07-29 12:22,Mon,27900.0,,3.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,
121,2019-07-29 12:54,Mon,15800.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,
122,2019-07-29 13:25,Mon,18100.0,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,
123,2019-07-29 13:36,Mon,28000.0,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,1.0,,,
124,2019-07-29 13:53,Mon,28000.0,,,,,2.0,,,1.0,,,1.0,,,,,1.0,,,,,1.0,,,
125,2019-07-31 11:09,Wed,15600.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,
126,2019-07-31 11:25,Wed,30100.0,,2.0,1.0,,,2.0,,,,1.0,,,,,,1.0,,,,,,,,
127,2019-07-31 11:38,Wed,23300.0,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,
128,2019-07-31 11:44,Wed,30200.0,,2.0,,,1.0,,,,,2.0,,,,,2.0,,,,,,,,,
129,2019-07-31 12:48,Wed,15100.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
130,2019-07-31 13:18,Wed,27300.0,,1.0,1.0,,2.0,,,,,,,,,,,1.0,,,,,1.0,,,
131,2019-07-31 13:19,Wed,15300.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,
132,2019-07-31 13:29,Wed,16100.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,
133,2019-07-31 13:54,Wed,15100.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,
134,2019-07-31 13:58,Wed,15800.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,
135,2019-08-01 11:03,Thur,14500.0,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,
136,2019-08-01 11:17,Thur,13100.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,
137,2019-08-01 11:25,Thur,16100.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,
138,2019-08-01 11:50,Thur,14800.0,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,
139,2019-08-01 12:02,Thur,21100.0,,2.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,
140,2019-08-01 12:15,Thur,20600.0,,2.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,
141,2019-08-01 12:24,Thur,32600.0,,1.0,2.0,,,2.0,,1.0,,1.0,,,,,1.0,,,,,,,,,
142,2019-08-01 12:38,Thur,14500.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,
143,2019-08-01 13:37,Thur,15100.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,
144,2019-08-01 13:39,Thur,15000.0,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,
145,2019-08-01 14:17,Thur,14800.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,
146,2019-08-01 14:56,Thur,23000.0,,,,,,4.0,,,,2.0,,,,,,,,,,,,,,
147,2019-08-02 11:03,Fri,19900.0,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,
148,2019-08-02 11:04,Fri,14100.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,
149,2019-08-02 11:06,Fri,18000.0,,3.0,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,
150,2019-08-02 11:19,Fri,16400.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
151,2019-08-02 11:31,Fri,17300.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,
152,2019-08-02 11:57,Fri,30800.0,,6.0,,,,,,,,,,,,,,,,,,,,,,
153,2019-08-02 12:21,Fri,15800.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,
154,2019-08-02 12:31,Fri,19900.0,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,
155,2019-08-02 12:51,Fri,15800.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,
156,2019-08-03 11:02,Sat,26000.0,,5.0,,,,,,,,,,,,,,,,,,,,,,
157,2019-08-03 11:03,Sat,26100.0,,2.0,1.0,,,,,,,1.0,,,,,,,,,,3.0,,,,
158,2019-08-03 11:03,Sat,16000.0,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,
159,2019-08-03 11:05,Sat,29100.0,,1.0,,,,1.0,,,,1.0,1.0,,,,1.0,,,,1.0,1.0,,,,
160,2019-08-03 11:06,Sat,16800.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,
161,2019-08-03 11:08,Sat,22800.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,,4.0,,,,
162,2019-08-03 11:20,Sat,16600.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,
163,2019-08-03 11:53,Sat,18800.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,2.0,,,,
164,2019-08-03 12:06,Sat,16400.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
165,2019-08-03 12:44,Sat,19300.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,
166,2019-08-03 13:06,Sat,16400.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
167,2019-08-03 13:18,Sat,18300.0,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,
168,2019-08-03 13:20,Sat,16300.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,
169,2019-08-03 13:42,Sat,15800.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,
170,2019-08-03 15:07,Sat,17900.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,
171,2019-08-03 15:53,Sat,16400.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
172,2019-08-04 11:02,Sun,34800.0,,1.0,1.0,,2.0,2.0,,,,2.0,,,,,,,,,,1.0,,,,
173,2019-08-04 11:04,Sun,31600.0,,2.0,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,2.0,,,,
174,2019-08-04 11:07,Sun,16400.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
175,2019-08-04 11:07,Sun,19300.0,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,
176,2019-08-04 11:41,Sun,24300.0,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,,,,
177,2019-08-04 11:52,Sun,22100.0,,2.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,
178,2019-08-04 12:27,Sun,14800.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,
179,2019-08-04 12:30,Sun,19500.0,,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,
180,2019-08-04 12:35,Sun,20600.0,,2.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,
181,2019-08-04 12:39,Sun,17800.0,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,1.0,,,,
182,2019-08-05 11:11,Mon,16300.0,,1.0,,,,,,1.0,,,,,,,,,,,,2.0,,,,
183,2019-08-05 11:16,Mon,23100.0,,2.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,
184,2019-08-05 11:18,Mon,31400.0,,2.0,,,,,,1.0,,1.0,,,,,1.0,1.0,,,,1.0,,,,
185,2019-08-05 11:32,Mon,17000.0,,,,,,,,,,1.0,2.0,,,,,,,,,1.0,,,,
186,2019-08-05 11:59,Mon,22300.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,,
187,2019-08-05 12:14,Mon,26600.0,,2.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,
188,2019-08-05 12:14,Mon,14800.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,
189,2019-08-05 12:42,Mon,19600.0,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,
190,2019-08-05 12:49,Mon,49300.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,1.0,,,3.0,1.0,,
191,2019-08-05 13:54,Mon,19800.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
192,2019-08-05 14:25,Mon,20800.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,
193,2019-08-05 14:53,Mon,16300.0,,1.0,,,,2.0,,,,,,,,,,,,,,1.0,,,,
194,2019-08-07 11:03,Wed,16300.0,,1.0,,,,2.0,,,,,,,,,,,,,,1.0,,,,
195,2019-08-07 11:10,Wed,21200.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
196,2019-08-07 12:17,Wed,15300.0,,,,,,1.0,,,,1.0,,,,,1.0,,,,,1.0,,,,
197,2019-08-07 12:20,Wed,27300.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,
198,2019-08-07 12:28,Wed,16100.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,
199,2019-08-07 13:28,Wed,17600.0,,1.0,,,,2.0,,,,,,,,,1.0,,,,,,,,,
200,2019-08-07 13:33,Wed,19500.0,,,3.0,,,,,,,2.0,,,,,,,,,,,,,,
201,2019-08-07 13:59,Wed,14800.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,
202,2019-08-07 14:05,Wed,15000.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,
203,2019-08-07 14:06,Wed,14100.0,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,
204,2019-08-07 14:50,Wed,23800.0,,1.0,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,
205,2019-08-08 11:07,Thur,16100.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
206,2019-08-08 11:09,Thur,16400.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
207,2019-08-08 11:22,Thur,20300.0,,1.0,,,,,,,,,,,,,,1.0,,,2.0,,,,,
208,2019-08-08 12:03,Thur,16500.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,
209,2019-08-08 12:13,Thur,15100.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,
210,2019-08-08 12:39,Thur,15300.0,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,
211,2019-08-08 12:56,Thur,16000.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,
212,2019-08-08 13:22,Thur,15800.0,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,
213,2019-08-08 13:26,Thur,17300.0,,1.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,
214,2019-08-08 13:36,Thur,33200.0,,2.0,,,,,,2.0,,,,,,,2.0,,,,,2.0,,,,
215,2019-08-08 13:55,Thur,22300.0,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,
216,2019-08-08 13:57,Thur,32400.0,,3.0,,,,2.0,,,,,,,,,,,,,2.0,,,,,
217,2019-08-08 14:11,Thur,16100.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,
218,2019-08-08 14:52,Thur,17000.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,1.0,,,,,
219,2019-08-08 14:58,Thur,20500.0,,,1.0,2.0,,,,,,,,,,,,,,,,3.0,1.0,,,
220,2019-08-09 11:34,Fri,17000.0,,,,,,2.0,,,,1.0,,,,,,,,,1.0,,,,,
221,2019-08-09 12:31,Fri,18600.0,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,
222,2019-08-09 15:22,Fri,26000.0,,5.0,,,,,,,,,,,,,,,,,,,,,,
223,2019-08-09 15:22,Fri,35800.0,,6.0,,,,2.0,,,,,,,,,,,,,,,,,,
224,2019-08-09 15:30,Fri,15100.0,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,
225,2019-08-10 11:01,Sat,19600.0,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,
226,2019-08-10 11:02,Sat,15300.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,
227,2019-08-10 11:03,Sat,19100.0,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,1.0,,,,
228,2019-08-10 11:05,Sat,28600.0,,2.0,1.0,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,
229,2019-08-10 11:09,Sat,17300.0,,1.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,
230,2019-08-10 11:27,Sat,36800.0,,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,1.0,,,,2.0,1.0,,,
231,2019-08-10 11:38,Sat,25300.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,
232,2019-08-10 12:17,Sat,46200.0,,4.0,,,,,,,,2.0,1.0,,,,,2.0,,,1.0,,,,,
233,2019-08-10 13:09,Sat,30200.0,,4.0,,,,,,2.0,,,,,,,,,,,,,,,,
234,2019-08-10 13:15,Sat,16600.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,
235,2019-08-10 13:22,Sat,21200.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
236,2019-08-10 13:31,Sat,24400.0,,3.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,
237,2019-08-11 11:01,Sun,21800.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,
238,2019-08-11 11:02,Sun,16800.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,
239,2019-08-11 11:03,Sun,16000.0,,,,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,,,
240,2019-08-11 11:08,Sun,22800.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,
241,2019-08-11 11:08,Sun,17800.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,
242,2019-08-11 11:37,Sun,15800.0,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,
